date,avg_price,min_price,max_price
10/17/2019,1.55,1.55,1.55
10/18/2019,0.9575,0.76,1.55
10/21/2019,1.478181818,0.76,1.55
10/22/2019,1.313,0.76,1.55
10/23/2019,0.87,0.76,1.09
10/24/2019,8.352,4.56,9.3
10/25/2019,7.945714286,4.56,9.3
10/28/2019,4.56,4.56,4.56
10/29/2019,4.56,4.56,4.56
10/30/2019,4.118333333,1.91,4.56
10/31/2019,9.3,9.3,9.3
11/1/2019,7.5225,4.56,9.3
11/4/2019,7.551428571,4.56,9.3
11/5/2019,8.748,6.54,9.3
11/6/2019,4.44,4.08,4.56
11/7/2019,6.518,0.67,9.3
11/8/2019,7.404,4.56,9.3
11/11/2019,8.099444444,1.91,9.3
11/12/2019,9.3,9.3,9.3
11/13/2019,6.00625,1.91,9.3
11/14/2019,7.952222222,1.91,9.3
11/15/2019,8.304,4.08,9.3
11/18/2019,6.922857143,4.56,9.3
11/19/2019,7.551428571,4.56,9.3
11/20/2019,7.203846154,1.91,9.3
11/21/2019,7.945714286,4.56,9.3
11/22/2019,7.824,4.02,9.3
11/25/2019,8.493333333,4.56,9.3
11/26/2019,7.404,4.56,9.3
11/27/2019,7.945714286,4.56,9.3
11/28/2019,9.3,9.3,9.3
11/29/2019,7.268571429,4.56,9.3
12/2/2019,8.764285714,4.56,9.3
12/3/2019,8.51,4.56,9.3
12/4/2019,7.139,1.91,9.3
12/5/2019,8.115,4.56,9.3
12/6/2019,5.004,4.56,6.78
12/9/2019,4.49,4.14,4.56
12/10/2019,4.56,4.56,4.56
12/11/2019,6.591428571,4.56,9.3
12/12/2019,6.865,4.56,9.3
12/13/2019,7.752,4.56,9.3
12/16/2019,9.3,9.3,9.3
12/17/2019,8.51,4.56,9.3
12/18/2019,7.791818182,4.56,9.3
12/19/2019,8.352,4.56,9.3
12/20/2019,8.7075,4.56,9.3
12/23/2019,8.071538462,0.83,9.3
1/3/2020,9.3,9.3,9.3
1/6/2020,8.07,4.56,9.3
1/7/2020,9.3,9.3,9.3
1/8/2020,7.810344828,2.04,9.3
1/9/2020,8.752258065,4.56,9.3
1/10/2020,8.352,4.56,9.3
1/13/2020,8.855625,4.56,9.3
1/14/2020,8.744210526,3.48,9.3
1/15/2020,7.44,3.66,9.3
1/16/2020,8.352,4.56,9.3
1/17/2020,3.93,2.04,4.56
1/20/2020,7.8,4.56,9.3
1/21/2020,4.56,4.56,4.56
1/22/2020,8.425714286,4.56,9.3
1/23/2020,8.83125,4.56,9.3
1/24/2020,8.284285714,4.56,9.3
1/27/2020,8.869090909,4.56,9.3
1/28/2020,8.115,4.56,9.3
1/29/2020,6.591428571,4.56,9.3
1/30/2020,8.574,4.56,9.3
1/31/2020,8.115,4.56,9.3
2/3/2020,3.3,2.04,4.56
2/4/2020,7.72,4.56,9.3
2/5/2020,7.72,4.56,9.3
2/6/2020,6.894545455,4.56,9.3
2/7/2020,7.404,4.56,9.3
2/10/2020,7.492,2.1,9.3
2/11/2020,9.3,9.3,9.3
2/12/2020,8.229,2.1,9.3
2/13/2020,8.773333333,4.56,9.3
2/14/2020,7.756363636,4.56,9.3
2/17/2020,8.41125,4.56,9.3
2/18/2020,9.3,9.3,9.3
2/19/2020,7.576363636,4.56,9.3
2/20/2020,8.773333333,4.56,9.3
2/21/2020,8.65,4.02,9.3
2/24/2020,8.7075,4.56,9.3
2/25/2020,8.438181818,4.56,9.3
2/26/2020,6.93,4.56,9.3
2/27/2020,8.570769231,4.56,9.3
2/28/2020,6.54,6.54,6.54
3/2/2020,9.3,9.3,9.3
3/3/2020,6.54,6.54,6.54
3/4/2020,7.165714286,3.66,9.3
3/5/2020,8.597777778,4.56,9.3
3/6/2020,8.728571429,4.56,9.3
3/9/2020,7.268571429,4.56,9.3
3/10/2020,9.036666667,4.56,9.3
3/11/2020,8.28,4.14,9.3
3/12/2020,6.9,2.1,9.3
3/13/2020,5.3,4.56,6.78
3/16/2020,8.262857143,4.56,9.3
3/17/2020,3.09,2.1,4.08
3/18/2020,6.93,4.56,9.3
3/19/2020,6.548,2.1,9.3
3/20/2020,7.665,4.56,9.3
3/23/2020,9.3,9.3,9.3
3/24/2020,9.3,9.3,9.3
3/25/2020,4.286666667,2.1,4.56
3/26/2020,8.046666667,4.56,9.3
3/27/2020,8.352,4.56,9.3
3/30/2020,7.958181818,4.02,9.3
3/31/2020,8.0625,4.14,9.3
4/1/2020,8.801052632,4.56,9.3
4/2/2020,8.705454545,4.56,9.3
4/3/2020,7.404,4.56,9.3
4/6/2020,8.026666667,3.84,9.3
4/7/2020,8.386153846,3.96,9.3
4/8/2020,8.206153846,4.56,9.3
4/9/2020,6.456,4.56,9.3
4/14/2020,6.93,4.56,9.3
4/15/2020,7.485,3.66,9.3
4/16/2020,8.689411765,3.66,9.3
4/17/2020,7.588235294,4.56,9.3
4/20/2020,8.861052632,4.56,9.3
4/21/2020,8.262857143,4.56,9.3
4/22/2020,8.537142857,4.56,9.3
4/23/2020,7.325,4.56,9.3
4/24/2020,4.56,4.56,4.56
4/27/2020,7.945714286,4.56,9.3
4/28/2020,5.295,4.56,7.5
4/29/2020,8.2825,3.84,9.3
4/30/2020,7.088,4.56,9.3
5/4/2020,5.4,4.02,6.78
5/5/2020,6.18,4.14,7.5
5/6/2020,4.73,3.66,7.5
5/7/2020,4.56,4.56,4.56
5/8/2020,4.512,2.1,6.78
5/11/2020,7.99125,2.1,9.3
5/12/2020,7.576363636,4.56,9.3
5/13/2020,8.4048,3.66,9.3
5/14/2020,8.653636364,4.56,9.3
5/15/2020,8.44125,2.1,9.3
5/18/2020,7.57,4.56,9.3
5/19/2020,9.050526316,4.56,9.3
5/20/2020,8.622857143,4.56,9.3
5/22/2020,8.115,4.56,9.3
5/25/2020,6.14,4.56,9.3
5/26/2020,6.936,4.02,9.3
5/27/2020,8.0475,2.1,9.3
5/28/2020,7.857391304,4.56,9.3
5/29/2020,7.662,4.56,9.3
6/2/2020,8.64,4.56,9.3
6/3/2020,8.086153846,3.66,9.3
6/4/2020,8.269565217,4.56,9.3
6/5/2020,7.71,4.56,9.3
6/8/2020,7.838181818,4.08,9.3
6/9/2020,8.746153846,2.1,9.3
6/10/2020,8.226,4.56,9.3
6/11/2020,8.355,3.66,9.3
6/12/2020,7.171578947,4.56,9.3
6/15/2020,8.801052632,4.56,9.3
6/16/2020,8.046666667,4.56,9.3
6/17/2020,8.170344828,4.56,9.3
6/18/2020,8.293846154,2.1,9.3
6/19/2020,7.32,2.1,9.3
6/22/2020,7.854,2.1,9.3
6/23/2020,7.5225,4.56,9.3
6/24/2020,8.905,4.56,9.3
6/25/2020,8.848571429,4.56,9.3
6/26/2020,7.42,3.84,9.3
6/29/2020,9.050526316,4.56,9.3
6/30/2020,7.48,4.56,9.3
7/1/2020,4.56,4.56,4.56
7/2/2020,8.22,3.66,9.3
7/3/2020,4.56,4.56,4.56
7/6/2020,6.72,2.1,9.3
7/7/2020,7.878,4.56,9.3
7/8/2020,7.576363636,4.56,9.3
7/9/2020,7.494545455,4.56,9.3
7/10/2020,5.64,4.14,9.3
7/14/2020,4.56,4.56,4.56
7/15/2020,5.845714286,4.08,9.3
7/16/2020,5.508,4.56,9.3
7/17/2020,4.56,2.1,7.5
7/20/2020,4.068,2.1,4.56
7/21/2020,5.52,3.66,9.3
7/22/2020,3.66,3.66,3.66
7/23/2020,4.56,4.56,4.56
7/24/2020,5.148,4.56,7.5
7/27/2020,4.42,4.14,4.56
7/28/2020,4.56,4.56,4.56
7/29/2020,7.5,7.5,7.5
7/30/2020,4.56,4.56,4.56
7/31/2020,6.03,4.56,7.5
8/3/2020,4.56,4.56,4.56
8/5/2020,4.89,3.66,6.78
8/6/2020,4.56,4.56,4.56
8/7/2020,4.56,4.56,4.56
8/10/2020,4.56,4.56,4.56
8/11/2020,4.56,4.56,4.56
8/12/2020,4.38,3.66,4.56
8/13/2020,5.148,4.56,7.5
8/18/2020,5.244,2.1,7.5
8/19/2020,4.553333333,2.1,7.5
8/20/2020,4.14,4.14,4.14
8/21/2020,6.03,4.56,7.5
8/24/2020,5.115,4.56,6.78
8/25/2020,4.56,4.56,4.56
8/26/2020,4.491428571,4.08,4.56
8/27/2020,5.736,4.56,7.5
8/28/2020,4.48,2.1,6.78
8/31/2020,4.93,4.56,6.78
9/1/2020,4.56,4.56,4.56
9/2/2020,4.64,2.1,7.5
9/3/2020,4.56,4.56,4.56
9/4/2020,4.56,4.56,4.56
9/7/2020,4.56,4.56,4.56
9/8/2020,4.56,4.56,4.56
9/9/2020,4.56,4.56,4.56
9/10/2020,4.886666667,4.56,7.5
9/11/2020,4.56,4.56,4.56
9/14/2020,4.96,4.02,7.5
9/15/2020,4.56,4.56,4.56
9/16/2020,4.11,3.66,4.56
9/17/2020,4.56,4.56,4.56
9/18/2020,4.56,4.56,4.56
9/21/2020,3.58,2.1,4.56
9/23/2020,7.5,7.5,7.5
9/24/2020,4.56,4.56,4.56
9/25/2020,4.56,4.56,4.56
9/29/2020,4.56,4.56,4.56
9/30/2020,7.5,7.5,7.5
10/1/2020,4.1,3.66,4.56
10/2/2020,4.56,4.56,4.56
10/5/2020,4.56,4.56,4.56
10/6/2020,4.56,4.56,4.56
10/7/2020,4.11,3.66,4.56
10/8/2020,4.56,4.56,4.56
10/9/2020,4.56,4.56,4.56
10/12/2020,3.576,2.1,4.56
10/13/2020,4.56,4.56,4.56
10/14/2020,4.56,4.56,4.56
10/15/2020,4.56,4.56,4.56
10/16/2020,4.56,4.56,4.56
10/19/2020,4.56,4.56,4.56
10/21/2020,4.56,4.56,4.56
10/22/2020,4.56,4.56,4.56
10/23/2020,4.286666667,2.1,4.56
10/26/2020,5.1525,4.56,9.3
10/27/2020,5.85,4.56,7.5
10/28/2020,4.98,4.56,7.5
10/29/2020,4.56,4.56,4.56
10/30/2020,4.56,4.56,4.56
11/2/2020,4.56,4.56,4.56
11/3/2020,4.56,4.56,4.56
11/4/2020,6.03,4.56,7.5
11/6/2020,5.7,2.1,7.5
11/9/2020,4.56,4.56,4.56
11/10/2020,4.26,3.9,4.56
11/11/2020,3.66,3.66,3.66
11/12/2020,4.068,2.1,4.56
11/13/2020,2.1,2.1,2.1
11/16/2020,3.74,2.1,4.56
11/18/2020,4.56,4.56,4.56
11/19/2020,5.05,4.56,7.5
11/20/2020,3.33,2.1,4.56
11/23/2020,4.56,4.56,4.56
11/24/2020,4.56,4.56,4.56
11/25/2020,4.56,4.56,4.56
11/26/2020,4.56,4.56,4.56
11/27/2020,5.424,4.14,9.3
11/30/2020,5.745,4.56,9.3
12/1/2020,5.3,4.56,6.78
12/2/2020,4.56,4.56,4.56
12/3/2020,4.56,4.56,4.56
12/4/2020,4.56,4.56,4.56
12/8/2020,5.133333333,4.56,7.5
12/9/2020,4.38,3.66,4.56
12/10/2020,4.56,4.56,4.56
12/11/2020,6.03,4.56,7.5
12/14/2020,5.54,4.56,7.5
12/15/2020,5.004,3.84,7.5
12/16/2020,5.148,4.56,7.5
12/17/2020,4.56,4.56,4.56
12/18/2020,4.335,3.66,4.56
12/21/2020,4.8375,4.56,6.78
12/22/2020,4.56,4.56,4.56
12/23/2020,4.56,4.56,4.56
12/28/2020,6.78,6.78,6.78
1/6/2021,4.56,4.56,4.56
1/7/2021,5.295,4.56,7.5
1/8/2021,4.886666667,4.56,7.5
1/11/2021,5.297142857,4.56,7.5
1/12/2021,3.945,2.1,4.56
1/13/2021,4.56,4.56,4.56
1/14/2021,2.92,2.1,4.56
1/15/2021,6.03,4.56,7.5
1/18/2021,6.48,4.56,9.3
1/19/2021,4.56,4.56,4.56
1/20/2021,4.56,4.56,4.56
1/21/2021,4.56,4.56,4.56
1/22/2021,3.74,2.1,4.56
1/25/2021,6.03,4.56,7.5
1/26/2021,4.56,4.56,4.56
1/27/2021,4.56,4.56,4.56
1/28/2021,4.56,4.56,4.56
1/29/2021,4.56,4.56,4.56
2/1/2021,4.56,4.56,4.56
2/2/2021,5.54,4.56,7.5
2/3/2021,4.56,4.56,4.56
2/4/2021,6.78,6.78,6.78
2/8/2021,3.33,2.1,4.56
2/10/2021,4.548,4.5,4.56
2/11/2021,4.56,4.56,4.56
2/12/2021,4.56,4.56,4.56
2/16/2021,4.98,4.98,4.98
2/17/2021,4.98,4.98,4.98
2/18/2021,4.02,2.1,4.98
2/19/2021,4.41,3.84,4.98
2/22/2021,7.86,4.98,9.3
2/24/2021,4.98,4.98,4.98
2/25/2021,5.82,4.98,7.5
3/1/2021,4.98,4.98,4.98
3/3/2021,5.42,4.5,6.78
3/4/2021,5.31,4.5,6.78
3/5/2021,4.98,4.98,4.98
3/8/2021,5.55,4.08,9.3
3/10/2021,5.18,4.98,6.78
3/11/2021,4.5,2.1,4.98
3/12/2021,4.875,4.14,4.98
3/15/2021,6.925714286,4.02,9.3
3/16/2021,4.98,4.98,4.98
3/17/2021,4.98,4.98,4.98
3/18/2021,6.06,4.98,9.3
3/19/2021,4.33,2.1,4.98
3/22/2021,4.98,4.98,4.98
3/23/2021,6.528,4.98,9.3
3/24/2021,4.02,2.1,4.98
3/25/2021,5.56,4.98,8.4
3/26/2021,6.12,4.98,8.4
3/29/2021,4.98,4.98,4.98
3/30/2021,4.98,4.98,4.98
3/31/2021,4.98,4.98,4.98
4/1/2021,4.98,4.98,4.98
4/7/2021,6.42,4.98,9.3
4/8/2021,8.4,8.4,8.4
4/9/2021,4.98,4.98,4.98
4/12/2021,5.55,4.98,8.4
4/13/2021,4.98,4.98,4.98
4/14/2021,4.404,2.1,4.98
4/15/2021,5.322,4.98,8.4
4/16/2021,4.5,2.1,4.98
4/19/2021,4.98,4.98,4.98
4/20/2021,4.98,4.98,4.98
4/21/2021,6.69,4.98,8.4
4/22/2021,6.69,4.98,8.4
4/23/2021,4.98,4.98,4.98
4/26/2021,3.54,2.1,4.98
4/27/2021,5.835,4.98,8.4
4/28/2021,4.98,4.98,4.98
4/29/2021,4.98,4.98,4.98
4/30/2021,5.8,4.98,7.44
5/3/2021,4.91,2.1,7.44
5/4/2021,6.69,4.98,8.4
5/6/2021,4.02,2.1,4.98
5/7/2021,4.68,4.08,4.98
5/10/2021,4.692,4.02,4.98
5/11/2021,6.69,4.98,8.4
5/12/2021,4.98,4.98,4.98
5/14/2021,6.04,3.84,9.3
5/17/2021,4.98,4.98,4.98
5/18/2021,4.404,2.1,4.98
5/19/2021,5.568,4.5,8.4
5/20/2021,4.98,4.98,4.98
5/21/2021,4.98,4.98,4.98
5/26/2021,4.02,2.1,4.98
5/27/2021,5.55,4.98,8.4
5/28/2021,5.26,4.08,8.4
6/1/2021,4.98,4.98,4.98
6/2/2021,6.69,4.98,8.4
6/3/2021,5.508,4.2,8.4
6/4/2021,5.595,4.02,8.4
6/7/2021,4.98,4.98,4.98
6/8/2021,5.057142857,2.1,8.4
6/9/2021,5.568,4.5,8.4
6/10/2021,5.957142857,4.98,8.4
6/11/2021,4.98,4.98,4.98
6/14/2021,4.98,4.98,4.98
6/15/2021,4.98,4.98,4.98
6/16/2021,4.86,4.5,4.98
6/17/2021,4.732,2.1,4.98
6/18/2021,5.835,4.98,8.4
6/21/2021,4.26,2.1,4.98
6/22/2021,6.445714286,4.98,8.4
6/23/2021,5.290909091,4.98,8.4
6/24/2021,6.42,4.98,9.3
6/25/2021,5.115,2.1,8.4
6/28/2021,5.7,2.1,9.3
6/29/2021,4.98,4.98,4.98
6/30/2021,6.12,4.98,8.4
7/1/2021,4.5,4.5,4.5
7/2/2021,6.348,4.98,8.4
7/5/2021,4.98,4.98,4.98
7/6/2021,4.98,4.98,4.98
7/7/2021,4.98,4.98,4.98
7/8/2021,5.472,4.98,7.44
7/9/2021,5.16,2.1,8.4
7/12/2021,4.98,4.98,4.98
7/14/2021,4.98,4.98,4.98
7/15/2021,5.82,4.98,8.4
7/16/2021,4.02,2.1,4.98
7/19/2021,4.98,4.98,4.98
7/20/2021,4.98,4.98,4.98
7/21/2021,6.69,4.98,8.4
7/22/2021,6.12,4.98,8.4
7/23/2021,4.66,4.02,4.98
7/26/2021,5.5,4.08,7.44
7/27/2021,4.98,4.98,4.98
7/28/2021,4.98,4.98,4.98
7/29/2021,4.98,4.98,4.98
7/30/2021,3.86,2.1,4.98
8/2/2021,4.98,4.98,4.98
8/3/2021,4.98,4.98,4.98
8/4/2021,4.62,2.1,4.98
8/5/2021,5.96,4.98,8.4
8/6/2021,4.26,2.1,4.98
8/9/2021,5.835,4.08,9.3
8/10/2021,4.98,4.98,4.98
8/11/2021,5.715,4.5,8.4
8/12/2021,4.98,4.98,4.98
8/13/2021,4.98,4.98,4.98
8/16/2021,4.98,4.98,4.98
8/17/2021,6.45,4.98,8.4
8/18/2021,4.98,4.98,4.98
8/19/2021,4.98,4.98,4.98
8/20/2021,5.78,3.96,8.4
8/23/2021,4.98,4.98,4.98
8/25/2021,5.664,4.98,8.4
8/26/2021,5.595,4.98,7.44
8/27/2021,4.74,4.02,4.98
8/30/2021,4.98,4.98,4.98
8/31/2021,4.98,4.98,4.98
9/1/2021,5.468571429,4.98,8.4
9/2/2021,5.595,4.98,7.44
9/3/2021,4.98,4.98,4.98
9/6/2021,7.14,4.98,9.3
9/7/2021,3.09,2.1,4.08
9/8/2021,4.98,4.98,4.98
9/9/2021,4.98,4.98,4.98
9/10/2021,4.98,4.98,4.98
9/13/2021,6.18,4.92,7.44
9/14/2021,4.98,4.98,4.98
9/15/2021,5.79,2.1,9.3
9/16/2021,5.2875,4.98,7.44
9/17/2021,5.835,4.98,8.4
9/22/2021,4.86,4.5,4.98
9/23/2021,4.98,4.98,4.98
9/24/2021,4.98,4.98,4.98
9/27/2021,5.48,2.1,8.4
9/28/2021,5.485714286,4.98,8.4
9/29/2021,4.98,4.98,4.98
9/30/2021,4.98,4.98,4.98
10/1/2021,4.98,4.98,4.98
10/5/2021,4.08,2.1,4.98
10/6/2021,4.98,4.98,4.98
10/7/2021,6.156,4.98,8.4
10/11/2021,4.98,4.98,4.98
10/12/2021,4.98,4.98,4.98
10/13/2021,4.98,4.98,4.98
10/14/2021,4.98,4.98,4.98
10/15/2021,7.14,4.98,9.3
10/18/2021,4.98,4.98,4.98
10/20/2021,4.98,4.98,4.98
10/21/2021,5.55,4.98,8.4
10/22/2021,4.98,4.98,4.98
10/25/2021,4.68,4.08,4.98
10/26/2021,8.4,8.4,8.4
10/27/2021,4.98,4.98,4.98
10/28/2021,5.253333333,4.98,7.44
10/29/2021,5.835,4.98,8.4
11/2/2021,6.69,4.98,8.4
11/3/2021,4.98,4.98,4.98
11/4/2021,6.06,4.98,9.3
11/5/2021,4.98,4.98,4.98
11/8/2021,4.98,4.98,4.98
11/9/2021,4.98,4.98,4.98
11/10/2021,6.06,4.98,9.3
11/11/2021,5.376,4.5,7.44
11/12/2021,4.02,2.1,4.98
11/15/2021,9.3,9.3,9.3
11/16/2021,4.98,4.98,4.98
11/17/2021,4.98,4.98,4.98
11/18/2021,5.8,4.98,7.44
11/19/2021,5.844,4.98,9.3
11/23/2021,4.98,4.98,4.98
11/24/2021,4.98,4.98,4.98
11/25/2021,6.21,4.98,7.44
11/26/2021,4.98,4.98,4.98
11/29/2021,4.98,4.98,4.98
11/30/2021,4.98,4.98,4.98
12/1/2021,4.74,4.5,4.98
12/2/2021,6.12,4.98,8.4
12/3/2021,6.12,4.98,8.4
12/6/2021,4.88,4.08,4.98
12/7/2021,8.4,8.4,8.4
12/8/2021,5.664,4.98,8.4
12/9/2021,4.98,4.98,4.98
12/10/2021,5.04,2.1,8.4
12/13/2021,4.836,4.26,4.98
12/15/2021,5.835,4.98,8.4
12/16/2021,4.98,4.98,4.98
12/17/2021,4.98,4.98,4.98
12/20/2021,5.472,4.98,7.44
12/21/2021,6.42,4.98,9.3
12/22/2021,5.835,4.98,8.4
12/23/2021,5.8,4.98,7.44
12/27/2021,4.98,4.98,4.98
12/28/2021,4.98,4.98,4.98
1/5/2022,4.98,4.98,4.98
1/6/2022,5.835,4.98,8.4
1/7/2022,4.98,4.98,4.98
1/10/2022,6.21,4.98,7.44
1/11/2022,4.98,4.98,4.98
1/12/2022,4.98,4.98,4.98
1/13/2022,4.98,4.98,4.98
1/14/2022,4.98,4.98,4.98
1/18/2022,4.98,4.98,4.98
1/19/2022,4.98,4.98,4.98
1/20/2022,4.98,4.98,4.98
1/21/2022,4.98,4.98,4.98
1/24/2022,8.16,8.16,8.16
1/25/2022,4.98,4.98,4.98
1/26/2022,4.98,4.98,4.98
1/27/2022,4.98,4.98,4.98
1/28/2022,4.98,4.98,4.98
1/31/2022,4.98,4.98,4.98
2/1/2022,4.98,4.98,4.98
2/2/2022,4.98,4.98,4.98
2/3/2022,3.54,2.1,4.98
2/4/2022,8.4,8.4,8.4
2/7/2022,6.04,4.98,8.16
2/8/2022,5.268,2.1,9.3
2/9/2022,5.844,4.98,9.3
2/10/2022,4.98,4.98,4.98
2/11/2022,7.14,4.98,9.3
2/14/2022,6.04,4.98,8.16
2/15/2022,4.44,2.1,5.16
2/16/2022,4.98,4.98,4.98
2/17/2022,3.54,2.1,4.98
2/21/2022,4.98,4.98,4.98
2/22/2022,4.26,2.1,4.98
2/23/2022,5.13,2.1,8.16
2/24/2022,5.7,4.98,9.3
2/25/2022,8.16,8.16,8.16
3/1/2022,9.3,9.3,9.3
3/2/2022,5.7,5.7,5.7
3/3/2022,6.6,2.1,9.3
3/4/2022,5.7,5.7,5.7
3/7/2022,5.52,4.98,5.7
3/8/2022,5.7,5.7,5.7
3/9/2022,6.192,5.7,8.16
3/10/2022,5.7,5.7,5.7
3/11/2022,5.1075,2.1,8.16
3/14/2022,5.7,5.7,5.7
3/15/2022,5.43,5.16,5.7
3/16/2022,6.015,4.5,8.16
3/17/2022,3.9,2.1,5.7
3/18/2022,4.8,2.1,5.7
3/21/2022,6.42,5.7,9.3
3/22/2022,4.92,4.92,4.92
3/23/2022,6.11,5.7,8.16
3/24/2022,4.8,2.1,5.7
3/25/2022,7.5,5.7,12.24
3/29/2022,5.1,2.1,9.3
3/30/2022,5.7,5.7,5.7
3/31/2022,5.26,4.98,5.7
4/1/2022,6.728571429,5.7,9.3
4/5/2022,5.7,5.7,5.7
4/6/2022,5.173333333,2.1,8.16
4/7/2022,5.7,5.7,5.7
4/8/2022,5.5575,2.1,8.16
4/11/2022,8.1,5.7,9.3
4/12/2022,6.68,5.04,9.3
4/13/2022,6.6,5.7,9.3
4/14/2022,5.7,2.1,9.3
4/19/2022,7.83,5.7,9.3
4/20/2022,5.7,5.7,5.7
4/21/2022,5.916,2.1,9.3
4/22/2022,6.11,5.7,8.16
4/25/2022,5.357142857,2.1,5.7
4/26/2022,5.7,5.7,5.7
4/27/2022,4.98,2.1,5.7
4/28/2022,3.9,2.1,5.7
4/29/2022,5.412,4.26,5.7
5/2/2022,5.7,5.7,5.7
5/3/2022,9.3,9.3,9.3
5/4/2022,5.22,2.1,9.3
5/5/2022,7.14,5.7,9.3
5/6/2022,9.405,5.7,11.88
5/9/2022,5.772,4.98,5.97
5/10/2022,9.05,5.97,11.88
5/11/2022,5.682857143,2.1,9.3
5/12/2022,5.196,2.1,5.97
5/13/2022,5.196,2.1,5.97
5/16/2022,4.035,2.1,5.97
5/17/2022,4.68,2.1,5.97
5/18/2022,6.468,5.97,8.46
5/19/2022,6.525,5.97,9.3
5/20/2022,5.16,2.1,5.97
5/23/2022,5.97,5.97,5.97
5/24/2022,5.97,5.97,5.97
5/25/2022,5.97,5.97,5.97
5/27/2022,7.91,5.97,9.3
5/31/2022,7.56,2.1,11.88
6/1/2022,6.65,2.1,11.88
6/2/2022,6.14,4.5,8.46
6/3/2022,7.08,5.97,9.3
6/7/2022,5.97,5.97,5.97
6/8/2022,5.97,5.97,5.97
6/9/2022,5.97,5.97,5.97
6/13/2022,5.1,5.1,5.1
6/14/2022,5.97,5.97,5.97
6/17/2022,9.3,9.3,9.3
6/20/2022,5.475,4.98,5.97
6/21/2022,5.97,5.97,5.97
6/22/2022,5.97,5.97,5.97
6/23/2022,5.97,5.97,5.97
6/24/2022,5.54,2.1,5.97
6/27/2022,7.94,5.97,11.88
6/28/2022,7.635,5.97,9.3
6/29/2022,7.08,5.97,9.3
6/30/2022,5.6025,4.5,5.97
7/1/2022,11.88,11.88,11.88
7/4/2022,4.98,4.98,4.98
7/5/2022,5.97,5.97,5.97
7/6/2022,9.69,9.69,9.69
7/7/2022,5.64,4.98,5.97
7/8/2022,5.97,5.97,5.97
7/11/2022,5.97,5.97,5.97
7/12/2022,9.69,9.69,9.69
7/14/2022,5.97,5.97,5.97
7/15/2022,5.97,5.97,5.97
7/18/2022,5.97,5.97,5.97
7/19/2022,5.97,5.97,5.97
7/20/2022,6.36,4.98,9.69
7/21/2022,5.445,4.92,5.97
7/22/2022,4.8,2.1,5.97
7/25/2022,5.97,5.97,5.97
7/27/2022,5.97,5.97,5.97
7/28/2022,5.97,5.97,5.97
7/29/2022,7.21,5.97,9.69
8/1/2022,5.97,5.97,5.97
8/2/2022,6.54,5.1,9.69
8/3/2022,5.37,4.92,5.97
8/4/2022,5.97,5.97,5.97
8/5/2022,5.97,5.97,5.97
8/8/2022,7.83,5.97,9.69
8/9/2022,5.97,5.97,5.97
8/10/2022,2.1,2.1,2.1
8/11/2022,6.501428571,5.97,9.69
8/12/2022,6.345,4.74,9.69
8/15/2022,5.97,5.97,5.97
8/16/2022,5.97,5.97,5.97
8/17/2022,5.475,4.98,5.97
8/18/2022,7.83,5.97,9.69
8/19/2022,6.9,5.97,9.69
8/22/2022,5.97,5.97,5.97
8/23/2022,7.83,5.97,9.69
8/24/2022,8.202,5.97,9.69
8/25/2022,5.97,5.97,5.97
8/26/2022,9.69,9.69,9.69
8/29/2022,11.88,11.88,11.88
8/30/2022,5.97,5.97,5.97
8/31/2022,5.64,4.98,5.97
9/1/2022,7.458,5.97,9.69
9/2/2022,5.97,5.97,5.97
9/5/2022,4.98,4.98,4.98
9/6/2022,5.97,5.97,5.97
9/7/2022,5.97,5.97,5.97
9/8/2022,7.045,4.98,9.69
9/9/2022,10.785,9.69,11.88
9/12/2022,5.97,5.97,5.97
9/13/2022,6.504,4.92,9.69
9/14/2022,5.355,4.74,5.97
9/15/2022,6.8,4.74,9.69
