date,amount
2020-01-03,285
2020-01-06,627
2020-01-07,241
2020-01-08,356
2020-01-09,877
2020-01-10,1011
2020-01-13,628
2020-01-14,304
2020-01-15,258
2020-01-16,81
2020-01-17,1051
2020-01-20,108
2020-01-21,15
2020-01-22,226
2020-01-23,279
2020-01-24,270
2020-01-27,107
2020-01-28,169
2020-01-29,566
2020-01-30,811
2020-01-31,73
2020-02-03,24
2020-02-04,133
2020-02-05,290
2020-02-06,2735
2020-02-07,100
2020-02-10,640
2020-02-11,124
2020-02-12,387
2020-02-13,370
2020-02-14,617
2020-02-17,262
2020-02-18,16
2020-02-19,141
2020-02-20,200
2020-02-21,606
2020-02-24,1110
2020-02-25,123
2020-02-26,89
2020-02-27,162
2020-02-28,384
2020-03-02,101
2020-03-03,16
2020-03-04,890
2020-03-05,472
2020-03-06,838
2020-03-09,3276
2020-03-10,318
2020-03-11,357
2020-03-12,110
2020-03-13,457
2020-03-16,933
2020-03-17,103
2020-03-18,142
2020-03-19,315
2020-03-20,173
2020-03-23,346
2020-03-24,647
2020-03-25,3575
2020-03-26,1200
2020-03-27,4982
2020-03-28,0
2020-03-30,155
2020-03-31,274
2020-04-01,741
2020-04-02,258
2020-04-03,156
2020-04-06,1122
2020-04-07,394
2020-04-08,417
2020-04-09,281
2020-04-11,0
2020-04-14,111
2020-04-15,811
2020-04-16,544
2020-04-17,250
2020-04-20,509
2020-04-21,718
2020-04-22,652
2020-04-23,262
2020-04-24,19
2020-04-27,281
2020-04-28,712
2020-04-29,2603
2020-04-30,351
2020-05-04,591
2020-05-06,447
2020-05-07,136
2020-05-08,712
2020-05-11,519
2020-05-12,245
2020-05-13,815
2020-05-14,498
2020-05-15,628
2020-05-18,243
2020-05-19,472
2020-05-20,457
2020-05-22,168
2020-05-25,58
2020-05-26,182
2020-05-27,466
2020-05-28,510
2020-05-29,1539
2020-06-02,553
2020-06-03,289
2020-06-04,465
2020-06-05,437
2020-06-08,1517
2020-06-09,278
2020-06-10,1040
2020-06-11,443
2020-06-12,1025
2020-06-15,592
2020-06-16,165
2020-06-17,948
2020-06-18,769
2020-06-19,465
2020-06-22,626
2020-06-23,279
2020-06-24,1541
2020-06-25,1453
2020-06-26,476
2020-06-29,3690
2020-06-30,4265
2020-07-02,3685
2020-07-03,63
2020-07-06,231
2020-07-07,223
2020-07-08,210
