date,mean_temp_nationwide,min_temp_nationwide,max_temp_nationwide,mean_precipitation_mm_nationwide,min_precipitation_mm_nationwide,max_precipitation_mm_nationwide,mean_sun_hours_nationwide,min_sun_hours_nationwide,max_sun_hours_nationwide
2020-01-03,5.24,3.3,7.8,2.61,0.7,6.6,0.5777777777777778,0,4.2
2020-01-06,3.0700000000000003,-0.6,5.6,0.3,0,1.7,3.8666666666666667,0,8.2
2020-01-07,3.9,1,6.9,0.48000000000000004,0,1.6,0.4111111111111111,0,1.4
2020-01-08,6.12,2.4,9.3,3.6,0,13.6,0.022222222222222223,0,0.2
2020-01-09,9.16,7,11.4,4.84,0,10.9,1.3777777777777778,0,7.6
2020-01-10,8.01,7.4,9.4,1.54,0.2,2.9,1.3111111111111111,0,5.6
2020-01-13,5.22,3.1,7.3,0.22,0,1,1.1666666666666667,0,2.9
2020-01-14,7.59,4.8,10.5,0.37,0,1.7,1.8888888888888888,0,7.5
2020-01-15,8.98,4.9,11.7,0.28,0,1.5,4.355555555555556,1.1,8.4
2020-01-16,7.14,4.1,10.4,0,0,0,6.222222222222222,4.8,7.1
2020-01-17,5.93,2.9,8.6,1.09,0,4.9,4.544444444444444,0,7.4
2020-01-20,2.19,0.4,4.5,0,0,0,1.4555555555555555,0,6.4
2020-01-21,0.5,-2.8,4.1,0,0,0,6.377777777777777,0.3,8.2
2020-01-22,0.32000000000000006,-3.8,6,0.01,0,0.1,1.288888888888889,0,5.5
2020-01-23,1.36,-2.5,5,0,0,0,0.5777777777777778,0,3.6
2020-01-24,0.10999999999999999,-2.2,1.6,0.03,0,0.3,3.5555555555555554,0,8.1
2020-01-27,5.76,3.7,7.5,3.42,0.2,12.6,1.988888888888889,0,5.4
2020-01-28,5.04,4.2,5.7,4.83,1.2,13.3,1.1111111111111112,0,2.1
2020-01-29,3.77,2.3,4.8,4.25,0,29.5,0.7666666666666667,0,1.8
2020-01-30,6.62,5.2,8.3,1.45,0.4,3.1,2,0,7.2
2020-01-31,11.18,9.8,12.7,0.47000000000000003,0,1.3,1.3555555555555556,0.2,3.4
2020-02-03,8.36,6.7,10.7,12.93,2.5,34.8,0.1,0,0.5
2020-02-04,4.7,3.7,5.3,2.09,0.8,5.1,1.5999999999999999,0.4,4.1
2020-02-05,3.04,1.4,4.9,0.08,0,0.8,5.566666666666666,0.6,8.6
2020-02-06,2.64,-0.6,5.5,0.01,0,0.1,2.488888888888889,0,9.4
2020-02-07,2.84,-0.6,5.8,0.02,0,0.2,4.488888888888889,0,9.4
2020-02-10,8.17,6.1,10.4,7.97,1.4,13.4,2.111111111111111,0.6,4.8
2020-02-11,4.48,3.5,5.8,2.5300000000000002,0,9.3,1.8888888888888888,0,3.4
2020-02-12,3.88,2.4,4.9,0.76,0,4.6,2.1444444444444444,0.5,4.4
2020-02-13,3.77,2.6,5.2,4.84,0.1,8.5,1.5,0,3.6
2020-02-14,5.63,4.1,6.9,0.46,0,1.5,0.32222222222222224,0,1
2020-02-17,9.11,7.8,11.6,2.67,0,9.1,2.2333333333333334,0,5
2020-02-18,6.65,5.6,7.5,1.48,0,5.5,2.4333333333333336,0.6,5.3
2020-02-19,5.140000000000001,4.2,6.4,1.68,0.2,6.2,1.911111111111111,1,4.1
2020-02-20,6.15,4.6,7.9,3.08,0.3,6.8,1.1555555555555554,0,3.9
2020-02-21,5.81,5,6.4,0.25,0,2.5,3.9222222222222225,0.8,9.3
2020-02-24,6.59,5,8.5,5.0200000000000005,0.1,17.8,0.9,0,3.7
2020-02-25,7.78,5.8,9.8,3.0100000000000002,0.2,9.3,2.4,0.1,4.5
2020-02-26,3.04,2.2,4.3,2.42,0.3,5.5,1.7,0,4.5
2020-02-27,2.66,1.8,3.5,7.3,0.4,15.4,0.8,0,2
2020-02-28,3.5,1.8,4.8,4.01,0,12.2,4.9,1.9,6.8
2020-03-02,6.32,5.2,7.2,2.78,0,7,3.444444444444444,0.4,8.7
2020-03-03,4.76,4,5.8,0.9,0,3.2,2.677777777777778,0,6.4
2020-03-04,4.28,1.9,6.2,0.55,0,2.4,2.511111111111111,0.6,4.6
2020-03-05,5.3,3.5,6.1,7.18,0.8,16.2,2.588888888888889,0,9.1
2020-03-06,5.54,4.6,6.4,3.35,0.2,7.8,0.5,0,2.7
2020-03-09,7.15,5.9,8.6,2.92,0.1,7,2.177777777777778,0.8,4.9
2020-03-10,7.46,5.2,10.1,11.69,7,17.6,0.11111111111111112,0,0.5
2020-03-11,11.52,9.5,13.8,3.16,0,19.8,3.577777777777778,0,9.4
2020-03-12,10.26,7.6,12.6,1.77,0.1,3.3,4.066666666666666,1.9,6.1
2020-03-13,6.47,5.1,7.3,1.44,0,4.8,3.611111111111111,1.5,9.2
2020-03-16,9.69,8.4,11.2,0,0,0,9.61111111111111,5.7,11.5
2020-03-17,9.84,7.2,12.7,0,0,0,5.022222222222222,1,10
2020-03-18,10.82,9.8,12,0.22,0,1.8,8.322222222222223,1.7,11.4
2020-03-19,10.75,7.4,12.3,0.04,0,0.4,5.322222222222222,0,11.4
2020-03-20,8.91,6.1,12.3,2.47,0,16.5,2.966666666666667,0,10.7
2020-03-23,2.1,-0.5,4.8,0,0,0,11.644444444444444,10.7,12.1
2020-03-24,2.97,0.3,5.7,0,0,0,11.4,9.8,12.1
2020-03-25,4.01,1,6.6,0,0,0,11.61111111111111,10.6,12.1
2020-03-26,4.85,2.4,6.4,0,0,0,9.488888888888889,3.6,11.9
2020-03-27,8.99,6.9,10.6,0,0,0,11.155555555555555,10.5,11.7
2020-03-28,8.72,6.6,12.3,0.2,0,2,11.122222222222222,9.9,11.7
2020-03-30,1.88,0.2,4.1,1.13,0,6.1,6.044444444444444,2,12.2
2020-03-31,2.68,0.8,5.8,0.01,0,0.1,7.955555555555556,5.3,11.8
2020-04-01,3.67,1.6,5.1,0,0,0,9.433333333333334,0.4,12.5
2020-04-02,6.1,4.7,7.7,0.2,0,1.8,7.622222222222222,1.6,12.5
2020-04-03,7.02,5.3,8.6,0.02,0,0.2,5.055555555555555,1.1,11.1
2020-04-06,13.84,10.9,16.5,0,0,0,12.466666666666667,12.1,12.7
2020-04-07,13.959999999999999,12.2,16.2,0,0,0,11.2,9.3,12.7
2020-04-08,14.98,13.4,17.1,0,0,0,12.1,11.2,12.7
2020-04-09,13.36,9.8,17.1,0,0,0,11.2,8.5,12.7
2020-04-11,12.24,9.4,14.9,0,0,0,12.466666666666667,11.8,13.1
2020-04-14,5.18,3.2,6.5,0,0,0,7.444444444444445,2.8,10.8
2020-04-15,8.86,6.9,10,0,0,0,11.155555555555555,8.5,13.1
2020-04-16,12.72,9.3,15.1,0,0,0,12.122222222222222,9.3,13.3
2020-04-17,13.68,8.5,17.7,0,0,0,11.822222222222223,8.4,13.1
2020-04-20,11.63,9.1,13.8,0,0,0,12.411111111111111,5.8,13.9
2020-04-21,12.959999999999999,10.7,15,0,0,0,13.277777777777777,12.6,13.8
2020-04-22,13.83,11,16.5,0,0,0,13.566666666666666,13.2,13.9
2020-04-23,14.05,13,15.8,0,0,0,13.322222222222221,12.7,13.7
2020-04-24,13.879999999999999,11.1,16,0,0,0,11.377777777777778,9.2,12.8
2020-04-27,14.12,12.4,15.6,0.06,0,0.6,10.577777777777778,5.3,13.7
2020-04-28,13.98,11.3,17.7,3.88,0.1,18.2,5.011111111111111,1.2,9.4
2020-04-29,12.59,9.7,14.9,3.93,0.2,10.9,2.022222222222222,0.1,4
2020-04-30,12.19,11.5,14,4.37,0.1,12.6,3,0.2,5
2020-05-04,11.030000000000001,8.8,12.9,2.19,0,8.5,4.7555555555555555,0.2,11.1
2020-05-06,9.73,7.8,11.5,0,0,0,12.422222222222222,5.6,14.8
2020-05-07,11.82,9.5,14.6,0,0,0,10.744444444444444,5.7,14.3
